等级,职业,属性,种族,名称,攻,受,速,范,魔,技能,性质
6,法师,冰,灵体,雪女,3,4,3,3,5,分身 神速 变硬 冰墙 菱撒【1.5（1回合一次；仅可对己方单位和此单位使用；对攻击或技能被菱撒单位的单位给予3，4，5的伤害） ¥吹雪（2*6；破魔；伤3；被击中单位有1/2几率守-2，到1）,自然回魔
9,法师,光,人类,英雄王,4,3,3,5,7,保护 飞跃 光墙 远程龙息 无尽之宝（1-7格；费1-7魔；破魔） 吸魔 ￥王之座（攻4守5速7范1；可乘骑；占2格；飞行） ￥EA（选择6*6的范围；下个进攻回合开始时此范围消失）剑之咏叹调（￥范变为1；职业变为“剑士”；破坏“王之座”并未取消“王之座”技能；之后每次攻击给此单为放置一个魔力点） 咏叹之铠（魔力点-1；仅可在职业为“剑士”时使用；不受到3以下的伤害，并且破魔效果对此单位无效； 6回合；不可叠加） X神速（一回合最多使用一次；仅可在职业为“剑士”时使用；花费任意魔力点使用；移动魔力点数量*4格） X斩击（6回合一次；仅可在职业为“剑士”时使用；此回合变为攻2次，弧形攻击；如果此单位攻击被对方技能影响，则下一次普攻破魔）,自然回魔
6,刺客,暗,精灵,Qreener,4,2,5,1,5,隐身 保护 飞跃 闪烁突袭(一回合一次，可在己方和敌方回合使用，瞬移到周围11*11范围内的单位周围，如果是敌方单位则对其造成两次普通攻击),攻击2次；每次普通攻击后有1/3机率发动以下效果：此回合移动和攻击次数+1，并且在下次攻击时攻+1，普攻半破魔；每次收到伤害时有1/3机率使伤害无效并且移动两格
4,勇者,暗,人类,被称为黑王子的男人,3,3,3,1,5,保护 神速 吸魔 穿刺 黑暗之臂（4回合；攻+1；攻击带有破魔的吸魔（大）效果；攻击2*2；不可叠加；魔力点-1） ￥黑仪式（攻击一周；中招之后不能回血； 使用后魔力点+2）,可格挡反击；每使用一次魔，魔力点+1
5,狂战,光,石人,阿修罗,3,4,4,1,4,保护 神速 穿刺（大） 硬化 ,不受到技能伤害；自然回血；4方向攻击；使用魔的时候有1/2几率不费魔；每次受到伤害都有1/2几率下回合攻击次数+1
6,狂战,土,石人,山岗护卫,3,6,5,2,3,【1巨型飞跃（飞跃5格，之后在回合结束前此单位所有伤害半破魔） 震开 龙息 硬化 ￥岩崩（3*4） ¥岩石风（9*9；破魔；被击中单位速降到1；无伤害；10回合）,占3*3；在自己回合不攻击时攻+1，最高到6；攻击后攻重置；最高受到2格伤害；普攻吸血；破坏一个对方武将后大招重置
5,骑士,暗,灵体,恶灵骑士,3,3,2,2,4,僵尸马（速3守5） 吸魔（大） 穿刺 保护 ￥腐尸兵（杀敌后，在尸体上召唤；攻5守1速2范1；拥有技能：腐烂气味：范3；破魔；被击中单位下回合速-1，到0；破坏单位后在破坏的单位原地召唤“腐尸兵”） 【2.5腐烂之宴（破坏一个此单位召唤的‘腐尸兵’然后在原地复制一个次单位；魔共用）,无
6,狂战,木,恶魔,魔人,3,5,3,1,5,震开 硬化 穿刺 飞跃 ¥狂暴连击（向一个方向攻击投骰子的数量）,占4格；可以使用对此单位造成伤害的技能；可被己方占一格的法师武将乘骑，那个武将使用的位移技能可作用于此单位
4,剑士,风,人类,E。前锋侠,4,3,4,1,5,风（穿刺大） 旋转【1.5（攻击1周）回避 冲锋（一回合一次；冲刺） 神速,飞行；弧形攻击；回合开始时周围7*7没有己方单位的回合内攻+1，速+1；每次位移之后加一次本回合内不费魔使用‘旋转’的次数
9,狂战,土,石人,地震巨人,4,4,3,2,5,神速 飞越 锁链 震开 龙息 能量刃（4回合一次；4格，4方向，半破魔） 变硬 ￥诸神的黄昏（使用后魔+1；10回合内攻守速+1，并且自然回魔，自然回血）  ¥大地的裂变（10回合；此单位周围7*7的单位受到的血量伤害*2，并且速-2，并且不能使用主动技能）,4方向攻击；此单位对其他单位造成伤害后血+1/4；每破坏一个等级7以上的对方武将，重置大招
4,勇者,光,灵体,时间行者,3,3,4,2,5,回避 穿刺 神速 时间跳跃（一回合2次；选择一个位置，掷硬币，两次都为正的情况下移动到那个位置） ￥￥时间回硕（仅可以对己方单位使用，那个单位回到位置，血，魔回到回合这个己方回合开始时的情况）,被此单位伤害的单位有1/2几率下回合不能行动
7,弓箭,木,精灵,游侠,3,3,5,5,5,回避 【0.5奥术（选择一个地方移动到那里）  ￥电子列车（移动8格；任何时间）,此单位分身可以攻击，使用被动技能，分身攻击后破坏；此单位对对方单位攻击时投色子，如果是点数为偶数，召唤投出点数的分身在周围；自然回魔
3,剑士,暗,恶魔,地狱的银角,4,3,3,2,4,穿刺（超大） 震开 神速 魔压（震开；魔为0时可以每回合不费魔使用一次）魔枪（穿刺；魔为0时每4回合可以不费魔使用一次）¥地狱毁灭（只有复活后才可以重置并使用此技能；周围9*9的对方单位受到3的破魔伤害；并且在下个进攻回合不能移动，攻击，和技能）,此单位被技能破坏后，下个对方回合结束时以魔0的状态召唤到对方任意单位的周围
6,法师,光,人类,神气魔导师,3,3,3,4,5,光墙 回复【1（加血加魔） 神圣恩惠（一回合一次；使用场上使用过的一个技能；一个技能只能通过此技能使用一次）,自然回魔
7,                    法师,钢,人类,钢铁法僧,4,4,3,5,5,光墙 回魔 龙息 魔法弹珠机枪（一回合一次；攻击方式转变；攻-1；攻击打4下；被击中单位被此单位吸魔，如果那个单位魔为0此单位仍然魔+1） 热力重狙（一回合一次；攻击方式转变；范+3；攻+1；攻击半破魔 ） 光栅炮（一回合一次；攻击方式变为4*4） 幻象弹（一回合一次；改变攻击方式；攻-1，被击中的单位受到以下破魔效果：按此单位宣言的方向尽可能移动4格） ￥末世的死亡射手（6回合；此单位技能的“改变方式”变为“在当回合叠加”）,自然回魔；占4格
4,骑士,炎,兽人,红龙,4,3,1,2,4,红龙（攻3守5速5范4;每个己方回合开始时和结束时都对周围7*7造成此单位召唤者攻的伤害；） 爆破（龙息） ￥热风（回合开始时周围7*7，那个范围内的对方单位有1/2几率攻击或使用主动技能失败；8回合） 保护,无
7,勇者,风,兽人,超时空霸者。天门,4,4,4,1,5,裂空拳【1.5（3*3；被此技能攻击的空间出此单位外不能进入或离开8回合） ￥时间混沌（范围全场；除此单位外速-3；8回合） 龙息（大） 穿刺（大） 神速 保护 空间末梢（一回合一次；瞬移到被此单位攻击或技能影响的空间中的一格）,此单位的攻击和技能针对单位和空间；被此单位攻击的空间下回合除此单位外不能进入或离开；此单位在被此单位攻击和技能影响的空间中自然回魔
6,勇者,光,天使,诚实天使欧内斯特,3,3,4,3,5,吸魔 神速 龙息 分身 ￥净化（使对方一单位魔-5）¥神圣决斗（破魔；被击中单位无法移动和主动技能；10回合）,飞行；物免
5,剑士,光,人类,星辰,4,3,4,1,6,流星【2（6格） 神速 星辰步（6回合一次；本回合可以移动2次；并且每次位移都可以在移动轨迹召唤一个分身） 保护 ,可格挡反击；每次普攻，格挡或反击都会在周围召唤一个分身
5,剑士,暗,人类,异次元行者,3,3,3,1,5,飞跃 传送点【0.5（攻0守1速5；可以隐身一次） 传送【0.5（一回合一次可以不费魔使用；移动到一个传送点旁边；随时使用）穿刺（大）【1巨力空洞（每个“传送点”周围7*7的对方单位受到一下破魔效果：最短距离移动到传送点周围，并且4回合不能移动） ￥￥大传送点（守无限；给予周围的单位以下技能:一回合一次，移动到另一个“大传送点”周围）,在不行动的回合，魔+1
5,狂战,暗,恶魔,则拉,4,5,2,4,5,神速 石墙 震开 硬化 远程龙息 魔性吸收（一回合一次；破魔；范6；3*3；击中单位向此单位方向尽量移动4格直到移动到此单位周围；被影响的单位受到此单位的普攻伤害半破魔）,占2*2；自然回血；自然回魔；攻2次
8,刺客,暗,人类,雷伊,4,2,5,2,4,【2回旋（对周围对方单位造成伤害）  分身 飞跃 回避 穿刺 ￥撕裂 邪恶视线（4回合一次；可对场上任意一个单位使用；在回合开始时不再此单位周围5*5的回合速-1，到1；破魔；4回合）  杀人鬼之力（4回合一次；选择场上一个对方单位；此单位回合开始时在那个周围5*5以外的回合速+1；4回合） 杀人微步（4回合一次；选择对方一个单位；此单位在那个单位周围5*5范围内每次位移都会在位移轨迹召唤一个分身；4回合）,可穿人；魔免；此单位被作为攻击对象的同时有1/2机率不费魔使用一次“回旋”；此单位对血量为1/2以下的单位普攻破魔
5,刺客,暗,人类,零崎,2,1,14,1,3,回避 分身 冲刺 【1（移动前方8格） ,穿人有伤害；穿人魔+0.5
4,勇者,水,灵体,黄泉,3,3,3,2,5,三倍速（4回合一次） 龙息 保护 ￥腐化（6回合；不能用魔；攻守速+1）,此单位进攻回合可以在任意时间点移动
6,剑士,土,人类,盲人剑士,6,4,1,1,9,回避,一回合内不限次数移动；需要用一个魔走一格；自然回魔；普攻破魔；攻击一周；普攻被回避后攻击次数重置
4,勇者,风,恶魔,契约恶魔,3,4,3,1,5,旋风（穿刺大） 保护 神速 锁链 恶魔契约（一回合一次；只能对己方武将使用；那个单位和此单位攻，守+1，每回合只能使用一次主动技能；再次使用则取消上次使用的效果）契约解除（选择此单位一个特性，直到下个己方回合开始时取消那个特性，重置本回合的攻击数）,飞行；可格挡反击;在对方回合结束时血+对方武将数*1/4；对方回合结束时此单位魔+对方武将数
6,法师,木,人类,仪式巫女,1,3,2,5,5,光墙 【1固有结界（每回合开始时才能发动；本回合内速+2，并且可以随时移动） 仪式。式神（“→↙↙→↑” 攻4守6速4范3；占4格；每次攻击都1/2几率重置本回合攻击数和移动数） 仪式。气流（↑↓←→”横竖5格；伤4；带有以下破魔效果：攻-1，速-1，到1，不可叠加，6回合）  仪式。八方（“→↗↑↖←↙↓↘”6*6；伤5；半破魔）  仪式。双蛟（“↘←↑→↓”2*10；伤5，带有以下破魔效果：守-1，不能使用主动技能，不可叠加，6回合） 仪式。世界（“↓↖↗↘↙↑↑↓←→”跳过对方一个回合）,此单位每次移动都会根据移动方向记录都会以一下符号”↑↓←→↖↗↘↙“记录在“记录”中；技能说明中的引号内部分是该技能的“条件”；只能“条件”在“记录”中存在才能使用（不费魔）；使用带有“条件”的技能后将“记录”内使用技能的部分去掉；此单位的范围技能范无限
4,刺客,风,人类,风魔,3,3,5,1,4,隐身 吸魔 追身（4格，移动到第5格；破魔；6回合一次） 陷阱【0.5（一回合最多使用一次；周围的单位受到3的破魔伤害） 回避,每次使用主动技能都有1/2几率魔+1
6,术士,雷,虫人,蜂王,2,4,3,3,5,保护 紫蜂【0.5（每个己方回合开始时可以自动在周围召唤2个；攻2守1速4范1；每个攻击回合开始时在身边召唤一只；破防；飞行） ￥蜂巢（6回合；紫蜂攻+1）【1.5蜂反（重置“蜂巢”）,飞行；自然回魔
5,术士,光,天使,禁术使用者。光,1,3,3,1,5,保护 光墙 禁术。灵媒术（一回合一次；血*1/2发动；召唤在战斗中破坏的单位；被召唤单位不能离开此单位周围9*9的范围；此单位获得任意破坏单位的一项能力值，一个技能或一个特性）,无
5,法师,炎,人类,太阳神,3,1,1,3,5,石墙 爆炎（龙息） ￥审判（远程；10*10；威力6；半破魔；无视魔免）,无
2,法师,风,鸟人,幻象鸟,1,3,4,1,5,回避 神速 幻想（破魔；无法回避；一回合一次；使对方单位移动4格） 吸魔 彩虹镜【0.5（使己方一个未移动的单位移动到此单位周围；那个单位此回合不能移动） ￥友好镜（10回合内不受到攻在3以上的单位的攻击和技能和伤害）,飞行
7,狂战,钢,虫人,劈斩司令,4,5,4,1,4,穿刺 保护 变硬 脱甲（守-1；移动3格） ,可格挡反击；此单位反击时的效果为对周围所有对方单位造成此单位攻击力的伤害；格挡时的效果增加直到下个己方回合结束前守+1，到7；攻击守比次单位高的单位时，追加攻击一次；每次攻击都有1/3几率魔+1，血+1/4
4,骑士,钢,恶魔,街道恶魔,4,3,1,2,5,摩托车（守3速8；可穿人，穿人给予3的破魔伤害） 暗影锁链（10回合一次；6回合；破魔；被击中单位和此单位不能移动，攻击，主动技能，并且被击中单位尽量与此单位保持距离在3格之内（在超过3格时尽量随着此单位移动的方向移动）） 飞跃 链条 穿刺 保护,无
7,勇者,钢,人类,铁腕罗迪克,4,3,3,1,4,飞跃 穿刺 震开 钢拳（8回合一次；2*3）¥DANGER！危险气场（周围11*11的单位无法回避；10回合）,此单位不移动的回合结束时攻+1，守+1；攻击或使用技能后攻守还原；所有伤害半破魔
6,弓箭,炎,天使,弗朗西斯,4,3,3,4,5,远程穿刺 神速 保护 【1灼热之箭（对击中单位给予伤害，并且带有以下破魔效果：每回合魔-1，血-1/8；6回合；此技能不给予致命伤害）,飞行；每个己方回合结束时魔+5；“神速”的每回合使用次数无限制
6,勇者,暗,恶魔,恶作剧的双子恶魔,3,3,3,3,5,保护 神速 【2光环（可在6回合内使自己的和一个已破坏单位的技能互换） 换身（4回合一次；被击中的单位将控制权与此单位互换；破魔；无法被回避；无视魔免）,不受到己方伤害
2,术士,钢,人类,水银法师,3,3,1,4,5,水银【1（4回合召唤一只；攻3守5速2范1;每回合可以使用一次“神速”；不受到技能伤害） ￥固定（10格；破魔；被击中的单位4四回合不能移动，攻击和主动技能） 保护,此单位的召唤物给予对方伤害后魔+1
5,勇者,光,人类,F,3,4,3,1,5,保护 穿刺 飞跃 神速 硬化 锁链 吸魔 吸魔（大） 龙吸 机枪 回避,可格挡反击；自然回血
5,弓箭,水,精灵,水之子,4,3,4,4,5,神速 回避 硬化 水波炮 凝固（一回合一次；开关技能；范-3，守+1） 【1深海咆哮（一回合最多使用一次；周围11*11范围内的对方单位向此单位的相反方向尽量移动4格） ,自然回魔
4,剑士,土,精灵,一刀斩。胧月,3,3,1,1,4,分身 穿刺 保护 神速 真刀。空气斩【1.5（破魔；想一个方向直线移动5格后使用；对方伤=守+1；使用成功后魔+对方的魔；一回合一次） ¥凝神（魔+1.5）,无
3,勇者,暗,灵体,不死小子,3,3,3,1,3,保护 穿刺 吞噬（破魔；4回合一次；被击中单位血*1/2，此单位血*2）,此单位半血以上受到致命伤害时，可以剩1/4的血留在场上；自然回血；攻击吸魔
7,勇者,水,人类,无名信使,3,3,4,2,5,飞跃 保护 龙息 神速 穿刺 硬化 无极落霞轮回（仅可在魔为0时使用；魔变满；魔力点-2） 造化（一回合一次；魔力点+1）,给对方造成伤害后魔力点+1；技能伤害破魔
5,贤者,光,天使,丰收之神。索拉,3,3,4,3,5,远程穿刺 圣墙 照明之光（4回合一次；周围11*11内对方武将受到3的伤害；如果那个武将的属性为“暗”则这个伤害破魔）,自然回血；自然回魔飞行；周围11*11内己方单位每回合血+1/4魔+1
7,剑士,土,人类,小月,4,3,3,1,3,穿刺 保护 飞跃 吸尘器（一回合一次；5*10；直到下回合结束时储存此范围内武将的费魔的技能；破魔） 放出（一回合5次；在进攻的回合使用；将储存的技能不费魔使用出来）,此单位不能隐身
